deny,(your policy DENY your coverage)
deposits,(your customers DEPOSITS youre required)
involved,(young men INVOLVED in the)
acted,(you havent ACTED well tonight)
bless,(you god BLESS you and) (and god BLESS the united)
call,(you can CALL this class) (americans would CALL that common)
live,(yet they LIVE every day)
are,(years there ARE no americans) (these achievements ARE a testament) (effect those ARE the facts) (but so ARE these in) (american manufacturers ARE hiring again) (thousand americans ARE working today) (our workers ARE the most) (of americans ARE looking for) (and louisville ARE up and) (that businesses ARE looking for) (jobs that ARE open today) (other countries ARE doubling down) (when students ARE not allowed) (small children ARE american through) (why there ARE fewer illegal) (of action ARE out of) (new jobs ARE created in) (businesses that ARE raising wages) (factories that ARE cleaner and) (some regulations ARE outdated unnecessary) (if you ARE a big) (of us ARE not bailing) (those days ARE over today) (year there ARE plenty of) (most americans ARE thinking the) (who remain ARE scrambling knowing) (its leaders ARE faced with) (and asia ARE stronger than) (the americas ARE deeper our) (world who ARE eager to) (of america ARE higher than) (on it ARE each of) (as we ARE joined in)
locks,(years master LOCKS unionized plant)
convinced,(year weve CONVINCED nearly every)
relied,(year we RELIED less on)
maybe,(year or MAYBE even the)
98,(year like 98 percent of)
qaddafi,(year ago QADDAFI was one)
reserves,(worlds oil RESERVES oil isnt)
automaker,(worlds number-one AUTOMAKER applause chrysler)
dictators,(worlds longest-serving DICTATORS -– a)
consumer,(worlds largest CONSUMER of energy)
saving,(world while SAVING nearly half)
ii,(world war II when another) (world war II we connected)
open,(world to OPEN new markets) (that are OPEN today but) (administration to OPEN more than) (democracies and OPEN markets because)
changing,(world is CHANGING no we)
educating,(world in EDUCATING its people)
ever,(world has EVER known applause) (strongly as EVER that we) (border than EVER before thats) (you out EVER again applause) (isolated than EVER before its) (stronger than EVER our ties)
for,(world applause FOR the first) (iraq applause FOR the first) (little away FOR retirement the) (either settle FOR a country) (creating jobs FOR the first) (a blueprint FOR an economy) (energy skills FOR american workers) (in exchange FOR help we) (business sense FOR him to) (applause today FOR the first) (tax breaks FOR moving jobs) (tax deduction FOR doing it) (moving expenses FOR companies like) (lowering taxes FOR companies that) (you get FOR making your) (or training FOR new workers) (it easier FOR american businesses) (new customers FOR american goods) (new markets FOR american products) (are looking FOR work its) (american looking FOR work to) (are looking FOR right now) (to go FOR all the) (to prepare FOR the jobs) (start earlier FOR less than) (their standards FOR teaching and) (own pocket FOR school supplies) (not enough FOR us to) (equal pay FOR equal work) (lightweight vests FOR cops and) (the race FOR the future) (new acres FOR oil and) (that drill FOR gas on) (whats true FOR natural gas) (as true FOR clean energy) (oil companies FOR a century) (a market FOR innovation so) (more jobs FOR construction workers) (and wait FOR the housing) (the price FOR lenders who) (people up FOR products they) (look out FOR them applause) (real penalty FOR being a) (thats bad FOR consumers and) (its bad FOR the vast) (the penalties FOR fraud count) (tax break FOR the wealthiest) (tax cuts FOR the wealthiest) (and care FOR our veterans) (of security FOR seniors but) (blame them FOR feeling a) (campaign contributions FOR congress cant) (it applause FOR starters i) (should do FOR people only) (more control FOR schools and) (federal offices FOR the folks) (will advocate FOR those values) (will stand FOR the rights) (no match FOR liberty and) (135000 jobs FOR veterans and) (look out FOR the person) (against me FOR president all) (deserve credit FOR the mission)
economy,(world an ECONOMY built to) (the strongest ECONOMY and middle) (restore an ECONOMY where everyone) (plunged our ECONOMY into a) (to an ECONOMY weakened by) (for an ECONOMY thats built) (-– an ECONOMY built on) (see an ECONOMY built to) (and our ECONOMY applause and) (and our ECONOMY but it) (in our ECONOMY last year) (help the ECONOMY grow but)
comprehensive,(working on COMPREHENSIVE immigration reform) (on a COMPREHENSIVE plan lets) (pass a COMPREHENSIVE plan to)
turned,(workforce that TURNED out the)
automakers,(workers and AUTOMAKERS to settle)
anyone,(work with ANYONE in this) (is back ANYONE who tells) (you otherwise ANYONE who tells)
imagine,(work together IMAGINE what we)
off,(work pays OFF and responsibility) (was laid OFF from her) (to lay OFF thousands of) (energy ideas OFF the ground) (was laid OFF from his) (no options OFF the table)
rebuilding,(work of REBUILDING our nation)
inexcusable,(work its INEXCUSABLE and we)
energetx,(work at ENERGETX a wind)
uniform,(women in UNIFORM who defend) (on that UNIFORM it doesnt)
muslims,(women christians MUSLIMS and jews)
ran,(woman who RAN against me)
reach,(within our REACH a country) (escape the REACH of the)
private,(with the PRIVATE sector has) (a reformed PRIVATE market not)
navy,(with the NAVY purchasing enough)
corrosive,(with the CORROSIVE influence of)
bipartisan,(with the BIPARTISAN trade agreements) (that has BIPARTISAN support at) (with the BIPARTISAN support of)
ambition,(with personal AMBITION they dont)
tax,(with our TAX code right) (companies get TAX breaks for) (the highest TAX rates in) (get a TAX deduction for) (basic minimum TAX and every) (a bigger TAX cut if) (double the TAX deduction you) (me these TAX reforms and) (the tuition TAX credit we) (applause expand TAX relief to) (clean energy TAX credits create) (stopping a TAX hike on) (the payroll TAX cut without) (a temporary TAX break for) (in the TAX code a) (pay lower TAX rates than) (a lower TAX rate than) (keep these TAX cuts for) (change our TAX code so) (taxes applause TAX reform should) (get special TAX subsidies or) (get a TAX break i) (providing new TAX credits to)
peoples,(with other PEOPLES money regulators) (and protect PEOPLES investments some)
incentives,(with new INCENTIVES the differences) (give businesses INCENTIVES to upgrade)
nuclear,(with irans NUCLEAR program now) (getting a NUCLEAR weapon and) (to secure NUCLEAR materials to)
unfair,(with investigating UNFAIR trading practices)
sanctions,(with crippling SANCTIONS and as)
forms,(with confusing FORMS and deceptive)
piedmont,(with central PIEDMONT community college)
blood,(with american BLOOD on his)
group,(with a GROUP of college)
solar,(wind or SOLAR or battery)
race,(win the RACE for the)
details,(will that DETAILS exactly how)
discover,(will soon DISCOVER that the)
any,(will oppose ANY effort to) (us than ANY major car) (can stop ANY bullet dont) (than in ANY of the) (should be ANY financial systems) (lets limit ANY elected official)
endure,(will only ENDURE if we)
stand,(will not STAND by when) (we will STAND against violence) (we will STAND for the)
relent,(will not RELENT let there)
cede,(will not CEDE the wind)
directly,(will lead DIRECTLY to a)
anywhere,(will go ANYWHERE in the)
remains,(will end REMAINS uncertain but) (but america REMAINS the one)
everything,(will do EVERYTHING we can) (investments in EVERYTHING else –-)
charged,(will be CHARGED with investigating) (seals who CHARGED up the)
$100,(will be $100 billion lower)
win,(will always WIN applause i) (other countries WIN the race)
increased,(why weve INCREASED annual va)
asked,(why ive ASKED this congress)
sending,(why im SENDING this congress)
hurt,(who were HURT so were) (recklessness that HURT so many)
laid,(who was LAID off from) (ritterby was LAID off from)
george,(who was GEORGE bushs defense)
beyond,(who dreams BEYOND his circumstance) (from events BEYOND our control)
afford,(who couldnt AFFORD or understand) (able to AFFORD lets also) (who couldnt AFFORD them and) (they couldnt AFFORD them thats) (they cant AFFORD with confusing) (people cannot AFFORD losing $40) (country cant AFFORD it either)
campaign,(who bundle CAMPAIGN contributions for) (a perpetual CAMPAIGN of mutual)
eager,(who are EAGER to work)
latino,(white asian LATINO native american)
recovery,(while the RECOVERY is still)
ultimately,(while its ULTIMATELY up to)
growing,(while a GROWING number of) (that were GROWING paychecks that) (right skills GROWING industries in) (from the GROWING dangers of)
than,(which more THAN a million) (created more THAN 3 million) (by more THAN $2 trillion) (the us THAN any major) (for less THAN 1 percent) (tuition debt THAN credit card) (the border THAN ever before) (illegal crossings THAN when i) (innovation greater THAN in american-made) (open more THAN 75 percent) (foreign oil THAN in any) (support more THAN 600000 jobs) (my presidency THAN my republican) (citizens more THAN $10 billion) (women differently THAN men applause) (to more THAN $2 trillion) (tax rates THAN millions of) (tax rate THAN his secretary) (make more THAN $1 million) (pay less THAN 30 percent) (more isolated THAN ever before) (are stronger THAN ever our) (are higher THAN theyve been) (stairs more THAN that the)
encourage,(where we ENCOURAGE the talent)
gets,(where everyone GETS a fair)
shrinking,(where a SHRINKING number of)
marching,(when youre MARCHING into battle)
act,(when we ACT together theres)
many,(when too MANY of our) (hear from MANY business leaders) (twice as MANY openings as) (american citizens MANY were brought) (down too MANY construction projects) (hurt so MANY americans now)
housing,(when the HOUSING bubble burst) (for the HOUSING market to) (to the HOUSING crisis applause)
competitors,(when our COMPETITORS dont play)
comes,(when it COMES to accessing) (when it COMES to the)
sat,(when i SAT next to)
insurance,(when health INSURANCE companies had)
ritterby,(when bryan RITTERBY was laid)
talk,(when americans TALK about folks)
owe,(when americans OWE more in)
factory,(when a FACTORY left town) (gas turbine FACTORY in charlotte) (recession the FACTORY only made)
stake,(whats at STAKE arent democratic) (jobs at STAKE i refused) (a huge STAKE in the)
could,(what we COULD accomplish if) (hard you COULD do well) (and universities COULD lead to) (ago that COULD have forced) (that they COULD contain a)
supposed,(what was SUPPOSED to be)
talking,(what theyre TALKING about applause)
abraham,(what republican ABRAHAM lincoln believed)
annual,(weve increased ANNUAL va spending)
crumbling,(weve got CRUMBLING roads and)
it,(weve done IT before at) (bad behavior IT was wrong) (was wrong IT was irresponsible) (irresponsible and IT plunged our) (should let IT die with) (other industries IT can happen) (me that IT now makes) (to seize IT tonight my) (the world IT makes no) (everyone knows IT so lets) (lets change IT first if) (for doing IT applause that) (is simple IT is time) (also making IT easier for) (manufacturing when IT comes to) (to fix IT jackie bray) (robotics training IT paid jackies) (they need IT is time) (luxury -– IT is an) (will sign IT right away) (work applause IT means we) (and get IT on my) (the way IT was public) (because of IT when bryan) (half of IT to pay) (ensure that IT wont add) (i guess IT was worth) (economy but IT should also) (lets get IT done applause) (applause when IT comes to) (we admire IT when americans) (cant afford IT either adds) (our control IT came from) (bad and IT seems to) (will sign IT tomorrow applause) (end to IT applause for) (so that IT is never) (its obligations IT can rejoin) (weve made IT clear that) (to keep IT that way) (who defend IT applause as) (applause and IT means enlisting) (that uniform IT doesnt matter) (laden on IT are each) (just like IT didnt matter) (the mission IT only succeeded) (back so IT is with) (we built IT together this)
announced,(weve already ANNOUNCED over 500)
track,(were on TRACK to meet)
longer,(were no LONGER spending at) (youre no LONGER allowed to) (is no LONGER enough to)
full,(were in FULL effect those) (running at FULL capacity applause) (cheaper and FULL of new)
control,(were in CONTROL of our) (beyond our CONTROL it came) (and more CONTROL for schools) (we cant CONTROL every event) (out of CONTROL the translator)
paychecks,(were growing PAYCHECKS that werent)
andrews,(went to ANDREWS air force)
establish,(well also ESTABLISH a financial)
some,(welcomed home SOME of our) (broken and SOME troops in) (also made SOME jobs obsolete) (of collapse SOME even said) (just that SOME schools redesign) (more quickly SOME use better) (right away SOME technologies dont) (pan out SOME companies fail) (to do SOME nation-building right) (to get SOME relief and) (question that SOME regulations are) (have forced SOME dairy farmers) (peoples investments SOME financial firms) (every year SOME of this) (lets take SOME steps to) (of washington SOME of whats) (their names SOME may be) (be democrats SOME may be)
outsourcing,(weakened by OUTSOURCING bad debt)
safeguard,(we will SAFEGUARD americas own)
advocate,(we will ADVOCATE for those)
take,(we should TAKE on illegal) (administration will TAKE every possible) (these projects TAKE the money) (together lets TAKE some steps) (i will TAKE no options)
support,(we should SUPPORT everyone whos) (the future SUPPORT the same) (this will SUPPORT more than) (that government SUPPORT is critical) (has bipartisan SUPPORT at least) (we will SUPPORT policies that) (the bipartisan SUPPORT of this)
start,(we should START with our) (overseas and START rewarding companies) (has to START earlier for) (our labs START new businesses) (home or START a business)
double,(we should DOUBLE the tax)
a,(we offered A final proud) (more than A million of) (is not A threat to) (achievements are A testament to) (forces at A time when) (our reach A country that) (that attracts A new generation) (high-paying jobs A future where) (my grandfather A veteran of) (worked on A bomber assembly) (part of A workforce that) (optimism of A nation that) (triumphed over A depression and) (contributing to A story of) (american had A chance to) (to raise A family own) (family own A home send) (and put A little away) (settle for A country where) (country where A shrinking number) (well while A growing number) (everyone gets A fair shot) (economy into A crisis that) (accountable so A crisis like) (lay out A blueprint for) (workers and A renewal of) (die with A million jobs) (more productive A few weeks) (we have A huge opportunity) (if youre A business that) (shouldnt get A tax deduction) (to pay A basic minimum) (should get A bigger tax) (if youre A high-tech manufacturer) (relocate in A community that) (hard when A factory left) (help financing A new plant) (i set A goal of) (its made A difference applause) (applause over A thousand americans) (we stopped A surge in) (manufacturers have A leg up) (creation of A trade enforcement) (openings at A time when) (bray is A single mom) (job as A mechanic then) (siemens opened A gas turbine) (and formed A partnership with) (me in A national commitment) (directly to A job applause) (system into A reemployment system) (happened in A generation but) (them at A time when) (we know A good teacher) (income of A classroom by) (over $250000 A great teacher) (point to A teacher who) (to make A difference teachers) (offer schools A deal give) (learn thats A bargain worth) (college at A time when) (higher education A higher priority) (spoke with A group of) (cant be A luxury -–) (acting on A comprehensive plan) (send me A law that) (them in A bill and) (energy applause A strategy thats) (we have A supply of) (give him A second chance) (at energetx A wind turbine) (companies for A century thats) (double-down on A clean energy) (to pass A comprehensive plan) (least set A clean energy) (that creates A market for) (to power A quarter of) (quarter of A million homes) (million homes A year applause) (so heres A proposal help) (send me A bill that) (part of A broader agenda) (and bridges A power grid) (that prevents A small business) (states with A system of) (never been A better time) (this congress A plan that) (about $3000 A year on) (the banks A small fee) (by taxpayers A chance to) (to repay A deficit of) (day deserve A government and) (government and A financial system) (and just A fraction of) (spend $10000 A year proving) (could contain A spill because) (oil with A rule like) (im confident A farmer can) (can contain A milk spill) (spill without A federal agency) (to buy A home or) (or start A business or) (you are A big bank) (write out A living will) (if youre A mortgage lender) (lender or A payday lender) (lender or A credit card) (finally have A watchdog in) (also establish A financial crimes) (for being A repeat offender) (to create A special unit) (americans now A return to) (is stopping A tax hike) (to be A temporary tax) (tax code A quarter of) (buffett pays A lower tax) (medical research A strong military) (programs remain A guarantee of) ($1 million A year you) (youre earning A million dollars) (million dollars A year you) (under $250000 A year like) (but asking A billionaire to) (i get A tax break) (difference like A senior on) (senior on A fixed income) (income or A student trying) (school or A family trying) (generations felt A responsibility to) (for feeling A little cynical) (came from A debate in) (send me A bill that) (these days A simple majority) (to pass A simple rule) (nominations receive A simple up) (locked in A perpetual campaign) (ideas im A democrat but) (relies on A reformed private) (market not A government program) (all want A smarter more) (can do A whole lot) (never again A source of) (war recedes A wave of) (to tripoli A year ago) (dictators -– A murderer with) (we have A huge stake) (our diplomacy A world that) (from getting A nuclear weapon) (applause but A peaceful resolution) (america is A pacific power) (power and A new beginning) (has lit A new hope) (ive proposed A new defense) (nearly half A trillion dollars) (to secure A pledge of) (im proposing A veterans jobs) (can learn A thing or) (bob gates A man who) (hillary clinton A woman who) (worked as A team this)
smart,(we need SMART regulations to)
forward,(we move FORWARD and lay) (journey moves FORWARD and our)
nearly,(we lost NEARLY 4 million) (industry added NEARLY 160000 jobs) (china at NEARLY twice the) (weve convinced NEARLY every state) (last america NEARLY 100 years) (use has NEARLY doubled and) (to spend NEARLY $1 trillion) (while saving NEARLY half a)
fast,(we hold FAST to that)
rid,(we got RID of one) (were getting RID of regulations)
here,(we got HERE long before) (to stay HERE and hire) (and hire HERE in america) (your products HERE and if) (jobs right HERE in america) (were brought HERE as small) (same commitment HERE weve subsidized) (nation-building right HERE at home) (agree right HERE right now) (been sent HERE to serve)
tonight,(we gather TONIGHT knowing that) (financial profits TONIGHT i want) (ingenuity and TONIGHT the american) (seize it TONIGHT my message) (heavily subsidized TONIGHT im announcing) (better so TONIGHT i am) (exploration and TONIGHT im directing) (acted well TONIGHT i will) (count and TONIGHT im asking) (people watching TONIGHT have differing) (ive talked TONIGHT about the) (families and TONIGHT im proposing)
begrudge,(we dont BEGRUDGE financial success)
accomplish,(we could ACCOMPLISH if we)
bring,(we cant BRING every job) (him to BRING jobs back) (moment to BRING manufacturing back) (do to BRING jobs back) (decide to BRING jobs home)
restore,(we can RESTORE an economy) (we passed RESTORE what should)
either,(we can EITHER settle for) (afford it EITHER adds to)
do,(we can DO this i) (you could DO well enough) (of people DO really well) (expensive to DO business in) (you can DO to bring) (country will DO everything we) (need to DO more its) (who can DO the job) (out they DO better so) (when kids DO graduate the) (need to DO their part) (have to DO their part) (rest to DO some nation-building) (system that DO the same) (professionals who DO the right) (need to DO more and) (his secretary DO we want) (americans or DO we want) (we cant DO both the) (is so DO i as) (has to DO with the) (has to DO with the) (government should DO for people) (they cannot DO better by) (i can DO a whole)
because,(we can BECAUSE weve done) (working today BECAUSE we stopped) (ours only BECAUSE theyre heavily) (use applause BECAUSE america will) (high-tech batteries BECAUSE of federal) (have jobs BECAUSE of it) (or germany BECAUSE we refuse) (a spill BECAUSE milk was) (fail –- BECAUSE the rest) (anti-fraud laws BECAUSE theres no) (right now BECAUSE of loopholes) (our veterans BECAUSE if were) (its not BECAUSE they envy) (rich its BECAUSE they understand) (only possible BECAUSE past generations) (after that BECAUSE washington is) (your help BECAUSE when we) (open markets BECAUSE tyranny is) (freedom endures BECAUSE of the) (he said BECAUSE every single) (only succeeded BECAUSE every member) (each other BECAUSE you cant) (is great BECAUSE we built) (is great BECAUSE we worked) (is great BECAUSE we get)
joined,(we are JOINED in common)
save,(way to SAVE money is) (chance to SAVE about $3000) (them will SAVE business and)
