feel,(zero to FEEL closer to)
not,(you will NOT escape the) (allies must NOT and will) (and will NOT allow it) (they do NOT act america) (time is NOT on our) (i will NOT wait on) (i will NOT stand by) (america will NOT permit the) (campaign may NOT be finished) (and foremost NOT as republicans) (as republicans NOT as democrats) (11th will NOT make us) (make america NOT only stronger) (lives should NOT have to) (we must NOT let this)
much,(you very MUCH mr speaker)
sure,(you arent SURE how to)
all,(you and ALL who have) (michael and ALL who gave) (is that ALL nations will) (applause and ALL nations should) (and saved ALL their lives) (lasting peace ALL fathers and) (mothers in ALL societies want) (unchanging for ALL people everywhere) (applause beyond ALL differences of) (thank you ALL may god)
some,(you again SOME day last) (applause but SOME governments will) (mass destruction SOME of these) (last year SOME in this) (too small SOME thought it) (normal in SOME ways it)
little,(york a LITTLE boy left)
state,(yet the STATE of our) (and their STATE sponsors the) (of the STATE respect for)
workers,(yet american WORKERS want more) (of american WORKERS lets pass) (give uninsured WORKERS credits to) (for younger WORKERS who choose) (and utility WORKERS well-trained in)
hours,(years 4000 HOURS over the)
enact,(year to ENACT a patients) (congress to ENACT new safeguards)
wish,(would ever WISH the evil)
false,(would be FALSE and temporary)
catastrophic,(would be CATASTROPHIC we will)
destructive,(worlds most DESTRUCTIVE weapons applause)
thousands,(world of THOUSANDS of terrorists) (tens of THOUSANDS of others) (of others THOUSANDS of dangerous) (tens of THOUSANDS of trained) (to murder THOUSANDS of its)
ticking,(world like TICKING time bombs)
unprecedented,(world faces UNPRECEDENTED dangers yet)
seeking,(world by SEEKING weapons of)
prospers,(works america PROSPERS so my)
russia,(working with RUSSIA and china)
going,(working or GOING to school)
choose,(workers who CHOOSE them applause) (today we CHOOSE freedom and)
charities,(work of CHARITIES and faith-based)
farewell,(words of FAREWELL semper fi)
doctor,(womens affairs DOCTOR sima samar)
advocate,(women who ADVOCATE these values)
property,(women private PROPERTY free speech)
uniform,(women in UNIFORM deserve the)
free,(women are FREE and are) (and live FREE from poverty) (private property FREE speech equal) (every region FREE markets and) (markets and FREE trade and) (trade and FREE societies are)
bosnian,(with the BOSNIAN government seized)
centuries,(with its CENTURIES of learning)
head,(with improved HEAD start and)
schools,(with good SCHOOLS and here) (in troubled SCHOOLS usa freedom)
confidence,(with complete CONFIDENCE in their)
note,(with a NOTE for his)
closely,(will work CLOSELY with our)
down,(will shut DOWN terrorist camps) (now cracking DOWN on terror)
wait,(will not WAIT on events)
stand,(will not STAND by as) (will always STAND firm for) (creed we STAND for a)
permit,(will not PERMIT the worlds)
escape,(will not ESCAPE the justice)
allow,(will not ALLOW it applause) (stable and ALLOW personal retirement)
question,(will never QUESTION evil is)
forget,(will never FORGET the debt)
completely,(will never COMPLETELY go away)
combat,(will help COMBAT illegal drugs)
vaccines,(will develop VACCINES to fight)
lasting,(will bring LASTING peace all)
waged,(will be WAGED on our)
timid,(will be TIMID in the)
small,(will be SMALL and short-term) (was too SMALL some thought)
reflected,(will be REFLECTED in the)
plotting,(who were PLOTTING to bomb)
followers,(who urged FOLLOWERS to sacrifice)
occupied,(who once OCCUPIED afghanistan now)
planes,(who hijacked PLANES on september)
lived,(who have LIVED through these)
there,(who died THERE at a) (from ending THERE our war) (results applause THERE is more) (american character THERE is honor)
its,(while starving ITS citizens iran) (to flaunt ITS hostility toward) (thousands of ITS own citizens) (act on ITS lessons america) (corps double ITS volunteers over) (history with ITS centuries of)
unelected,(while an UNELECTED few repress)
laugh,(where they LAUGH about the)
called,(when i CALLED our troops) (history has CALLED america and) (weve been CALLED to a)
necessary,(what is NECESSARY to ensure)
offered,(weve been OFFERED a unique)
wrong,(were as WRONG as they)
spotting,(well-trained in SPOTTING danger our)
partners,(well be PARTNERS in rebuilding) (and coalition PARTNERS hundreds of)
deliberate,(well be DELIBERATE yet time)
maps,(weapons surveillance MAPS of american)
mass,(weapons of MASS destruction some) (weapons of MASS destruction while) (weapons of MASS destruction these) (weapons of MASS destruction we)
threatening,(weapons from THREATENING the united) (terror from THREATENING america or)
exports,(weapons and EXPORTS terror while)
materialistic,(weak and MATERIALISTIC that we)
splinter,(we would SPLINTER in fear)
win,(we will WIN this war) (act to WIN the war) (objectives to WIN the war)
shut,(we will SHUT down terrorist)
revive,(we will REVIVE our economy)
renew,(we will RENEW the promise)
improve,(we will IMPROVE intelligence collection) (research will IMPROVE public health) (expand and IMPROVE the good)
demonstrate,(we will DEMONSTRATE that the)
reminded,(we were REMINDED that we)
aside,(we set ASIDE posturing and)
press,(we now PRESS on we)
mentors,(we need MENTORS to love)
upgrade,(we must UPGRADE our teacher)
seize,(we must SEIZE to change)
pursue,(we must PURSUE them wherever)
prevent,(we must PREVENT the terrorists) (is to PREVENT regimes that)
met,(we last MET in an) (time we MET in this) (i have MET the heroes)
spent,(we have SPENT more than)
shown,(we have SHOWN overseas well) (we have SHOWN freedoms power)
seen,(we have SEEN the depth)
known,(we have KNOWN freedoms price)
glimpsed,(we have GLIMPSED what a)
funded,(we have FUNDED our national)
found,(we have FOUND diagrams of) (we have FOUND in afghanistan)
tonight,(we gather TONIGHT our nation) (skill and TONIGHT thanks to) (with us TONIGHT applause shannon) (lives and TONIGHT we welcome) (my call TONIGHT is for)
stop,(we cant STOP short if) (if we STOP now leaving) (terror cannot STOP the momentum)
overcome,(we can OVERCOME evil with)
accumulate,(we can ACCUMULATE and more)
winning,(we are WINNING the war)
knowledge,(ways better KNOWLEDGE gained from)
detailed,(water facilities DETAILED instructions for)
cant,(watch we CANT stop short)
big,(was too BIG applause but)
economy,(war our ECONOMY is in) (revive our ECONOMY september the) (revitalize our ECONOMY our budget) (grow the ECONOMY by encouraging)
terrorism,(war against TERRORISM applause during)
play,(want to PLAY football until) (i can PLAY with you)
steady,(want a STEADY paycheck applause)
events,(wait on EVENTS while dangers) (from the EVENTS of september) (in human EVENTS rarely has)
abroad,(vigorous action ABROAD and increased)
entire,(view the ENTIRE world as) (if our ENTIRE country looked)
they,(videos where THEY laugh about) (the destruction THEY design we) (them wherever THEY are applause) (it if THEY do not) (growing danger THEY could provide) (their hatred THEY could attack) (training and THEY also deserve) (unemployment checks THEY want a) (and selfishness THEY were as) (wrong as THEY are evil) (justice because THEY are right) (and murder THEY embrace tyranny)
